,u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,ref,bridge,access,junction,service,tunnel,area
0,25451907,2143372273,0,23149902,True,5,Airport Boulevard,trunk,50,37.626,"LINESTRING (103.9821061 1.3417832, 103.9819695 1.3414736)",,,,,,,
1,25455307,7301014993,0,590374268,True,3,T1 Boulevard,trunk,50,148.478,"LINESTRING (103.9859642 1.3514576, 103.9865069 1.3526777)",,,,,,,
2,26778790,4602579497,0,74776949,True,4,Selegie Road,primary,50,15.445,"LINESTRING (103.8500291 1.3015196, 103.8500298 1.3016585)",,,,,,,
3,26778799,571883509,0,173767774,True,5,Orchard Road,primary,50,21.63,"LINESTRING (103.8429499 1.3000417, 103.8431335 1.2999773)",,,,,,,
4,26778809,6981881347,0,633219856,True,5,Orchard Road,primary,50,10.828,"LINESTRING (103.8407089 1.300716, 103.8408016 1.3006861)",,,,,,,
5,26778862,7019703242,0,396336421,True,5,Selegie Road,primary,50,19.232,"LINESTRING (103.8503359 1.3042268, 103.8504288 1.3043727)",,,,,,,
6,26778938,5497109548,0,396336407,True,4,Bukit Timah Road,trunk,60,14.521,"LINESTRING (103.8506967 1.3047524, 103.8506051 1.3048455)",,,,,,,
7,26781923,5189461831,0,74864002,True,3,Telok Blangah Road,primary,60,52.576,"LINESTRING (103.8258341 1.2667254, 103.8261913 1.2670353)",,,,,,,
8,26781973,1837448982,0,747280760,True,4,South Bridge Road,secondary,50,39.235,"LINESTRING (103.8458432 1.283202, 103.8456761 1.2828912)",,,,,,,
9,26781997,602549545,0,477930090,True,4,South Bridge Road,secondary,50,61.548,"LINESTRING (103.8455644 1.2827013, 103.8452956 1.2822174)",,,,,,,
10,26782068,4841156972,0,162783049,True,5,West Coast Highway,trunk,70,115.839,"LINESTRING (103.8291064 1.2697537, 103.8298719 1.2704605)",,,,,,,
11,26782119,6131982070,0,74928377,True,3,Telok Blangah Road,primary,60,79.379,"LINESTRING (103.8184712 1.2668016, 103.8190694 1.2664118)",,,,,,,
12,26782119,4748024558,0,173166889,True,4,Seah Im Road,residential,50,34.431,"LINESTRING (103.8184712 1.2668016, 103.8184172 1.2664967)",,,,,,,
13,26782131,246800771,0,477930091,True,4,South Bridge Road,secondary,50,4.926,"LINESTRING (103.8448068 1.281414, 103.8447803 1.2813785)",,,,,,,
14,26782134,6027464530,0,654397501,True,4,Telok Blangah Road,primary,60,29.995,"LINESTRING (103.8195169 1.2661411, 103.8197588 1.2660216)",,,,,,,
15,26782232,4723007218,0,637031015,True,3,Telok Blangah Road,primary,60,8.088,"LINESTRING (103.8210512 1.2658157, 103.8211239 1.2658186)",,,,,,,
16,26782339,3350897025,0,751804397,True,2,Kreta Ayer Road,residential,50,28.053,"LINESTRING (103.8427808 1.2798578, 103.8426771 1.2800878)",,,,,,,
17,31737626,1228968823,0,74769722,True,2,Hougang Avenue 1,secondary,50,90.764,"LINESTRING (103.8889187 1.3593666, 103.8892804 1.3586348)",,,,,,,
18,31737627,5120178449,0,630117921,True,2,Hougang Avenue 1,secondary,40,11.332,"LINESTRING (103.8897325 1.3574283, 103.88975 1.3573279)",,,,,,,
19,31737628,31737629,0,640248161,True,2,Hougang Avenue 1,secondary,50,43.517,"LINESTRING (103.8900342 1.3550461, 103.8899753 1.3546592)",,,,,,,
20,31737629,4691361739,0,168198606,True,2,Hougang Avenue 1,secondary,50,26.535,"LINESTRING (103.8899753 1.3546592, 103.8898969 1.3544338)",,,,,,,
21,31737710,5970988434,0,537579063,True,2,Hougang Avenue 1,secondary,50,59.241,"LINESTRING (103.8885356 1.3601774, 103.8887639 1.359696)",,,,,,,
22,31737711,5967966046,0,537062179,True,2,Hougang Avenue 1,secondary,50,6.702,"LINESTRING (103.888853 1.3595047, 103.8888817 1.3594517)",,,,,,,
23,31737712,31737627,0,630117921,True,2,Hougang Avenue 1,secondary,40,59.333,"LINESTRING (103.8895785 1.3579392, 103.8897325 1.3574283)",,,,,,,
24,74368120,6214426660,0,481676025,True,4,Orchard Road,primary,50,54.367,"LINESTRING (103.8318399 1.3050396, 103.8322644 1.3047968)",,,,,,,
25,74392496,6232047028,0,665776858,True,2,Mohamed Sultan Road,residential,50,18.769,"LINESTRING (103.8421234 1.2940987, 103.8420095 1.2939741)",,,,,,,
26,74405856,6056620188,0,646965007,False,4,Mohamed Sultan Road,residential,50,26.182,"LINESTRING (103.8411103 1.2926288, 103.8412445 1.2928223)",,,,,,,
27,74405856,682933923,0,646965008,False,4,Mohamed Sultan Road,residential,50,15.625,"LINESTRING (103.8411103 1.2926288, 103.8410362 1.2925094)",,,,,,,
28,74407251,4738210402,0,633265315,True,2,River Valley Road,primary,50,57.281,"LINESTRING (103.8430238 1.2933956, 103.8425864 1.2936679)",,,,,,,
29,74408902,6226629011,0,9588211,False,4,Mohamed Sultan Road,residential,50,13.129,"LINESTRING (103.8397009 1.2913369, 103.8396014 1.2912733)",,,,,,,
30,74408902,682924928,0,665250502,False,4,Mohamed Sultan Road,residential,50,23.955,"LINESTRING (103.8397009 1.2913369, 103.8398828 1.2914524)",,,,,,,
31,74408905,5985310884,0,479205322,False,3,Mohamed Sultan Road,residential,50,45.868,"LINESTRING (103.840578 1.2919731, 103.8402515 1.2917209)",,,,,,,
32,74408905,682933110,0,665782184,False,3,Mohamed Sultan Road,residential,50,21.144,"LINESTRING (103.840578 1.2919731, 103.8407342 1.2920816)",,,,,,,
33,74408907,6232116148,0,665780673,False,2,Mohamed Sultan Road,residential,50,15.395,"LINESTRING (103.8408885 1.2922906, 103.840806 1.2921794)",,,,,,,
34,74408907,6232116149,0,665780677,False,2,Mohamed Sultan Road,residential,50,10.163,"LINESTRING (103.8408885 1.2922906, 103.8409376 1.2923677)",,,,,,,
35,74408909,4726517042,0,634175010,False,2,Mohamed Sultan Road,residential,50,70.041,"LINESTRING (103.8413508 1.292978, 103.841711 1.2934948)",,,,,,,
36,74408909,6056620188,0,665776856,False,2,Mohamed Sultan Road,residential,50,20.962,"LINESTRING (103.8413508 1.292978, 103.8412445 1.2928223)",,,,,,,
37,74442029,7270989023,0,778743371,True,4,River Valley Road,primary,50,30.454,"LINESTRING (103.8442826 1.292558, 103.8440604 1.2927182)",,,,,,,
38,74442031,6136940045,0,654956717,True,3,River Valley Road,primary,50,16.111,"LINESTRING (103.8462994 1.2910752, 103.8461772 1.2911531)",,,,,,,
