,y,x,osmid,highway,ref,route_ref,geometry
25451907,1.3417832,103.9821061,25451907,,,,POINT (103.9821061 1.3417832)
25455307,1.3514576,103.9859642,25455307,,,,POINT (103.9859642 1.3514576)
26778790,1.3015196,103.8500291,26778790,traffic_signals,,,POINT (103.8500291 1.3015196)
26778799,1.3000417,103.8429499,26778799,traffic_signals,,,POINT (103.8429499 1.3000417)
26778809,1.300716,103.8407089,26778809,traffic_signals,,,POINT (103.8407089 1.300716)
26778862,1.3042268,103.8503359,26778862,,,,POINT (103.8503359 1.3042268)
26778938,1.3047524,103.8506967,26778938,traffic_signals,,,POINT (103.8506967 1.3047524)
26781923,1.2667254,103.8258341,26781923,,,,POINT (103.8258341 1.2667254)
26781973,1.283202,103.8458432,26781973,,,,POINT (103.8458432 1.283202)
26781997,1.2827013,103.8455644,26781997,,,,POINT (103.8455644 1.2827013)
26782068,1.2697537,103.8291064,26782068,,,,POINT (103.8291064 1.2697537)
26782119,1.2668016,103.8184712,26782119,traffic_signals,,,POINT (103.8184712 1.2668016)
26782131,1.281414,103.8448068,26782131,,,,POINT (103.8448068 1.281414)
26782134,1.2661411,103.8195169,26782134,,,,POINT (103.8195169 1.2661411)
26782232,1.2658157,103.8210512,26782232,,,,POINT (103.8210512 1.2658157)
26782339,1.2798578,103.8427808,26782339,,,,POINT (103.8427808 1.2798578)
31737626,1.3593666,103.8889187,31737626,,,,POINT (103.8889187 1.3593666)
31737627,1.3574283,103.8897325,31737627,,,,POINT (103.8897325 1.3574283)
31737628,1.3550461,103.8900342,31737628,,,,POINT (103.8900342 1.3550461)
31737629,1.3546592,103.8899753,31737629,,,,POINT (103.8899753 1.3546592)
31737710,1.3601774,103.8885356,31737710,,,,POINT (103.8885356 1.3601774)
31737711,1.3595047,103.888853,31737711,traffic_signals,,,POINT (103.888853 1.3595047)
31737712,1.3579392,103.8895785,31737712,,,,POINT (103.8895785 1.3579392)
