,u,v,key,osmid,oneway,lanes,highway,maxspeed,length,geometry,ref,name,bridge,access,tunnel
0,133662081,1779753197,0,32776720,True,2,motorway_link,50,47.218,"LINESTRING (103.8925021 1.4005659, 103.8929254 1.4006012)",,,,,
1,133662081,5864610050,0,307716381,True,4,motorway,90,69.172,"LINESTRING (103.8925021 1.4005659, 103.8931171 1.4004711)",TPE,Tampines Expressway,,,
2,133662094,1166755175,0,175015668,True,3,motorway,90,191.115,"LINESTRING (103.9032937 1.3971561, 103.9047401 1.396227)",TPE,Tampines Expressway,,,
3,133662095,133662096,0,620576654,True,5,motorway,90,32.798,"LINESTRING (103.9069777 1.3943434, 103.907186 1.3941345)",TPE,Tampines Expressway,,,
4,133662096,133662097,0,620576654,True,5,motorway,90,165.339,"LINESTRING (103.907186 1.3941345, 103.9082255 1.393071)",TPE,Tampines Expressway,,,
5,133662097,133662098,0,620576654,True,5,motorway,90,102.838,"LINESTRING (103.9082255 1.393071, 103.9088331 1.3923736)",TPE,Tampines Expressway,,,
6,133662098,2120309813,0,630107334,True,4,motorway,90,117.5,"LINESTRING (103.9088331 1.3923736, 103.9095217 1.3915719)",TPE,Tampines Expressway,,,
7,133662099,6041680314,0,74549051,True,4,motorway,90,96.868,"LINESTRING (103.9100165 1.391, 103.9105877 1.3903421)",TPE,Tampines Expressway,,,
8,133662100,133662102,0,74549051,True,4,motorway,90,167.756,"LINESTRING (103.9111708 1.3896819, 103.9121552 1.3885384)",TPE,Tampines Expressway,,,
9,133662102,5992186379,0,74549051,True,4,motorway,90,133.173,"LINESTRING (103.9121552 1.3885384, 103.9129309 1.3876257)",TPE,Tampines Expressway,,,
10,133662104,6750878419,0,311264571,True,4,motorway,90,97.175,"LINESTRING (103.9138941 1.3864947, 103.9144836 1.3858494)",TPE,Tampines Expressway,yes,,
11,135078512,6578324592,0,33176817,True,4,motorway,90,33.428,"LINESTRING (103.9137675 1.3863872, 103.9135644 1.3866089)",TPE,Tampines Expressway,,,
12,135078639,5950442157,0,33176817,True,4,motorway,90,40.995,"LINESTRING (103.909899 1.3908993, 103.9096577 1.3911781)",TPE,Tampines Expressway,,,
13,135078726,135078751,0,479744509,True,4,motorway,90,114.702,"LINESTRING (103.9087831 1.3921882, 103.9080994 1.3929608)",TPE,Tampines Expressway,,,
14,135078751,5864610048,0,479744509,True,4,motorway,90,82.652,"LINESTRING (103.9080994 1.3929608, 103.9076185 1.3935277)",TPE,Tampines Expressway,,,
15,135078921,135078974,0,33176817,True,4,motorway,90,168.528,"LINESTRING (103.9120339 1.3884268, 103.9110405 1.3895717)",TPE,Tampines Expressway,,,
16,135078974,6041680315,0,33176817,True,4,motorway,90,97.089,"LINESTRING (103.9110405 1.3895717, 103.9104724 1.3902349)",TPE,Tampines Expressway,,,
17,135079061,135079100,0,175015670,True,3,motorway,90,147.141,"LINESTRING (103.9000826 1.3986032, 103.8988516 1.3990896)",TPE,Tampines Expressway,,,
18,135079100,1779753166,0,175015670,True,3,motorway,90,65.523,"LINESTRING (103.8988516 1.3990896, 103.8982915 1.3992732)",TPE,Tampines Expressway,,,
19,135079149,6076613473,0,32776914,True,1,motorway_link,50,5.706,"LINESTRING (103.9025279 1.3973962, 103.902477 1.3973896)",,,,,
20,135079149,369177368,0,620749719,True,3,motorway,90,13.621,"LINESTRING (103.9025279 1.3973962, 103.902425 1.3974627)",TPE,Tampines Expressway,,,
21,135079181,6168006830,0,32776625,True,2,motorway_link,50,7.705,"LINESTRING (103.9058425 1.3951674, 103.9057732 1.395166)",,,,,
22,135079181,1166755156,0,74549053,True,3,motorway,90,37.335,"LINESTRING (103.9058425 1.3951674, 103.9055907 1.3953896)",TPE,Tampines Expressway,,,
23,135079228,1166755186,0,175015670,True,3,motorway,90,86.961,"LINESTRING (103.9016131 1.39791, 103.9009105 1.3982539)",TPE,Tampines Expressway,,,
24,135079247,369177633,0,74981358,True,3,motorway,90,110.749,"LINESTRING (103.8945651 1.4001026, 103.8935775 1.4002338)",TPE,Tampines Expressway,,,
25,135079306,135079902,0,715645006,True,4,motorway,90,152.993,"LINESTRING (103.8921205 1.4003965, 103.8907603 1.4006064)",TPE,Tampines Expressway,,,
26,135079396,1166755211,0,627659619,True,4,motorway,90,220.044,"LINESTRING (103.8967884 1.3996777, 103.8948464 1.400061)",TPE,Tampines Expressway,,,
27,242937154,5910864488,0,718240845,True,3,primary,70,21.327,"LINESTRING (103.9066492 1.3860957, 103.9068192 1.3861846)",,Sengkang East Drive,,,
28,242937156,5952971989,0,535287503,True,2,secondary,60,30.016,"LINESTRING (103.9074024 1.3865048, 103.9073038 1.3867561)",,Sengkang East Way,,,
29,242937156,370099862,0,535287504,True,3,primary,70,12.65,"LINESTRING (103.9074024 1.3865048, 103.9075032 1.3865576)",,Sengkang East Drive,,,
30,242937158,1736627854,0,32776866,True,3,primary,70,60.312,"LINESTRING (103.910871 1.3884859, 103.9113047 1.3888118)",,Punggol East Flyover,yes,,
31,242937166,4713513499,0,174886194,True,3,primary,70,69.251,"LINESTRING (103.9066121 1.3859418, 103.906061 1.3856514)",,Sengkang East Drive,,,
32,242937176,1779763723,0,174886194,True,3,primary,70,6.346,"LINESTRING (103.907458 1.3863914, 103.9074082 1.3863635)",,Sengkang East Drive,,,
33,242937176,242937156,0,445716761,True,2,secondary,60,14.043,"LINESTRING (103.907458 1.3863914, 103.9074024 1.3865048)",,Sengkang East Way,,,
34,242937186,1736627857,0,32776854,True,3,primary,70,59.047,"LINESTRING (103.9126609 1.3897224, 103.9122453 1.3893917)",,Punggol East Flyover,yes,,
35,242937271,395048610,0,32776858,True,3,primary,70,68.029,"LINESTRING (103.9109302 1.3883503, 103.9104154 1.3880195)",,Sengkang East Drive,,,
36,242941523,4459074669,0,626312080,True,4,secondary,60,39.765,"LINESTRING (103.9012991 1.3856123, 103.9014757 1.3859233)",,Punggol Road,,,
37,242941536,375774643,0,74953831,True,,secondary,60,8.122,"LINESTRING (103.9015947 1.3862324, 103.9016198 1.386301)",,Punggol Road,,,
38,242941536,4459074685,0,448937450,True,2,tertiary,50,28.325,"LINESTRING (103.9015947 1.3862324, 103.901358 1.3863267)",,Compassvale Drive,,,
39,242941538,242941544,0,175959518,True,2,secondary,60,77.937,"LINESTRING (103.9017679 1.3873217, 103.9018034 1.3880217)",,Punggol Road,,,
40,242941544,1854312570,0,175959518,True,2,secondary,60,51.087,"LINESTRING (103.9018034 1.3880217, 103.9017974 1.3884811)",,Punggol Road,,,
41,242941554,1854312573,0,175959518,True,2,secondary,60,41.19,"LINESTRING (103.901796 1.3891413, 103.9017781 1.3895113)",,Punggol Road,,,
42,242941570,369164641,0,160443488,True,,secondary,60,11.433,"LINESTRING (103.9014441 1.3909671, 103.9014304 1.391069)",,Punggol Road,,,
43,242941570,3063312955,0,617971383,True,2,secondary,60,35.367,"LINESTRING (103.9014441 1.3909671, 103.9011263 1.3909822)",,Sengkang East Way,,,
44,242941571,242941579,0,175840054,True,2,secondary,60,88.927,"LINESTRING (103.9012825 1.3917901, 103.9011281 1.3925748)",,Punggol Road,,,
45,242941579,4598826850,0,175840054,True,2,secondary,60,18.766,"LINESTRING (103.9011281 1.3925748, 103.9011083 1.3927424)",,Punggol Road,,,
46,242941602,242941606,0,627985762,True,4,secondary,60,49.506,"LINESTRING (103.9011261 1.3933251, 103.9011966 1.3937647)",,Punggol Road,,,
47,242941606,3063319097,0,302094705,True,1,secondary_link,50,16.438,"LINESTRING (103.9011966 1.3937647, 103.9012254 1.3939097)",,,,,
