,u,v,key,osmid,bridge,oneway,length,geometry
0,411102707,411102710,0,173144836,yes,False,126.879,"LINESTRING (103.8996183 1.4023594, 103.8985451 1.4027479)"
1,411102707,2274881946,0,173144836,yes,False,37.546,"LINESTRING (103.8996183 1.4023594, 103.8999376 1.4022493)"
2,411102710,2274882650,0,173144836,yes,False,102.557,"LINESTRING (103.8985451 1.4027479, 103.8976765 1.4030588)"
3,411102710,411102707,0,173144836,yes,False,126.879,"LINESTRING (103.8985451 1.4027479, 103.8996183 1.4023594)"
4,411102713,2274882934,0,173144832,yes,False,19.181,"LINESTRING (103.8971042 1.4034934, 103.897235 1.4033809)"
5,411102713,1839722280,0,173144832,yes,False,17.166,"LINESTRING (103.8971042 1.4034934, 103.897014 1.4036187)"
6,411102715,1839722280,0,173144832,yes,False,17.537,"LINESTRING (103.8969517 1.4037636, 103.897014 1.4036187)"
7,411102715,2274883456,0,173144832,yes,False,24.04,"LINESTRING (103.8969517 1.4037636, 103.8969103 1.4039758)"
8,411102718,2274883456,0,173144832,yes,False,22.23,"LINESTRING (103.8969466 1.4041724, 103.8969103 1.4039758)"
9,411102718,2274884034,0,173144832,yes,False,93.117,"LINESTRING (103.8969466 1.4041724, 103.8971667 1.4049804)"
10,411102721,2274884362,0,173144832,yes,False,53.184,"LINESTRING (103.8974846 1.4060092, 103.8973393 1.4055535)"
11,411102721,411102724,0,173144832,yes,False,60.178,"LINESTRING (103.8974846 1.4060092, 103.8976318 1.40653)"
12,411102724,411102721,0,173144832,yes,False,60.178,"LINESTRING (103.8976318 1.40653, 103.8974846 1.4060092)"
13,411102724,2274884769,0,173144832,yes,False,42.582,"LINESTRING (103.8976318 1.40653, 103.897767 1.4068883)"
14,411102726,2274884850,0,173144832,yes,False,198.36,"LINESTRING (103.8998586 1.4109146, 103.8989996 1.409351)"
15,411102726,1748996469,0,173144832,yes,False,131.39,"LINESTRING (103.8998586 1.4109146, 103.9004651 1.4119288)"
16,411102730,1748996475,0,173144832,yes,False,53.84,"LINESTRING (103.9009256 1.4129351, 103.9007162 1.4124985)"
17,411102730,411102732,0,173144832,yes,False,242.43,"LINESTRING (103.9009256 1.4129351, 103.9015465 1.4150251)"
18,411102732,411102730,0,173144832,yes,False,242.43,"LINESTRING (103.9015465 1.4150251, 103.9009256 1.4129351)"
19,411102732,2274884877,0,173144832,yes,False,22.411,"LINESTRING (103.9015465 1.4150251, 103.9016281 1.4152094)"
20,411102735,7114440519,0,173144832,yes,False,29.305,"LINESTRING (103.9023396 1.416097, 103.9021722 1.4158934)"
21,411102735,2274884969,0,173144832,yes,False,39.641,"LINESTRING (103.9023396 1.416097, 103.9025953 1.4163455)"
