,y,x,osmid,ref,railway,geometry
411102707,1.4023594,103.8996183,411102707,,,POINT (103.8996183 1.4023594)
411102710,1.4027479,103.8985451,411102710,,,POINT (103.8985451 1.4027479)
411102713,1.4034934,103.8971042,411102713,,,POINT (103.8971042 1.4034934)
411102715,1.4037636,103.8969517,411102715,,,POINT (103.8969517 1.4037636)
411102718,1.4041724,103.8969466,411102718,,,POINT (103.8969466 1.4041724)
411102721,1.4060092,103.8974846,411102721,,,POINT (103.8974846 1.4060092)
411102724,1.40653,103.8976318,411102724,,,POINT (103.8976318 1.40653)
411102726,1.4109146,103.8998586,411102726,,,POINT (103.8998586 1.4109146)
411102730,1.4129351,103.9009256,411102730,,,POINT (103.9009256 1.4129351)
411102732,1.4150251,103.9015465,411102732,,,POINT (103.9015465 1.4150251)
411102735,1.416097,103.9023396,411102735,,,POINT (103.9023396 1.416097)
411102738,1.4174148,103.9044234,411102738,,,POINT (103.9044234 1.4174148)
411102747,1.4174192,103.9053003,411102747,,,POINT (103.9053003 1.4174192)
411102754,1.4154359,103.9077707,411102754,,,POINT (103.9077707 1.4154359)
411102758,1.4145713,103.9075046,411102758,,,POINT (103.9075046 1.4145713)
411102762,1.4122972,103.9063563,411102762,,,POINT (103.9063563 1.4122972)
411102763,1.4097239,103.9048658,411102763,,,POINT (103.9048658 1.4097239)
411102764,1.4073624,103.903494,411102764,,,POINT (103.903494 1.4073624)
411102765,1.4056407,103.9024307,411102765,,,POINT (103.9024307 1.4056407)
411102766,1.4026665,103.901094,411102766,,,POINT (103.901094 1.4026665)
411102767,1.4023933,103.9008396,411102767,,,POINT (103.9008396 1.4023933)
411102768,1.402181,103.9004468,411102768,,,POINT (103.9004468 1.402181)
411685947,1.401825,103.9013221,411685947,,,POINT (103.9013221 1.401825)
411685948,1.4021169,103.9010024,411685948,,,POINT (103.9010024 1.4021169)
411685949,1.4024403,103.9009003,411685949,,,POINT (103.9009003 1.4024403)
411686017,1.3929457,103.9137856,411686017,,,POINT (103.9137856 1.3929457)
411686018,1.3951262,103.9110583,411686018,,,POINT (103.9110583 1.3951262)
411686020,1.3976891,103.9080237,411686020,,,POINT (103.9080237 1.3976891)
411686022,1.3998348,103.9052588,411686022,,,POINT (103.9052588 1.3998348)
411686023,1.4000251,103.9049539,411686023,,,POINT (103.9049539 1.4000251)
411686024,1.4013732,103.9022066,411686024,,,POINT (103.9022066 1.4013732)
411686025,1.4015436,103.9018654,411686025,,,POINT (103.9018654 1.4015436)
411686452,1.4080003,103.9046747,411686452,,,POINT (103.9046747 1.4080003)
411686453,1.4070509,103.9061208,411686453,,,POINT (103.9061208 1.4070509)
411686455,1.4060662,103.9075124,411686455,,,POINT (103.9075124 1.4060662)
411686457,1.4034957,103.9110983,411686457,,,POINT (103.9110983 1.4034957)
411686458,1.4022373,103.9128752,411686458,,,POINT (103.9128752 1.4022373)
411686459,1.4005203,103.9152176,411686459,,,POINT (103.9152176 1.4005203)
