,y,x,osmid,ref,highway,geometry
133662081,1.4005659,103.8925021,133662081,10,motorway_junction,POINT (103.8925021 1.4005659)
133662094,1.3971561,103.9032937,133662094,,,POINT (103.9032937 1.3971561)
133662095,1.3943434,103.9069777,133662095,,,POINT (103.9069777 1.3943434)
133662096,1.3941345,103.907186,133662096,,,POINT (103.907186 1.3941345)
133662097,1.393071,103.9082255,133662097,,,POINT (103.9082255 1.393071)
133662098,1.3923736,103.9088331,133662098,,,POINT (103.9088331 1.3923736)
133662099,1.391,103.9100165,133662099,,,POINT (103.9100165 1.391)
133662100,1.3896819,103.9111708,133662100,,,POINT (103.9111708 1.3896819)
133662102,1.3885384,103.9121552,133662102,,,POINT (103.9121552 1.3885384)
133662104,1.3864947,103.9138941,133662104,,,POINT (103.9138941 1.3864947)
135078512,1.3863872,103.9137675,135078512,,,POINT (103.9137675 1.3863872)
135078639,1.3908993,103.909899,135078639,,,POINT (103.909899 1.3908993)
135078726,1.3921882,103.9087831,135078726,,,POINT (103.9087831 1.3921882)
135078751,1.3929608,103.9080994,135078751,,,POINT (103.9080994 1.3929608)
135078921,1.3884268,103.9120339,135078921,,,POINT (103.9120339 1.3884268)
135078974,1.3895717,103.9110405,135078974,,,POINT (103.9110405 1.3895717)
135079061,1.3986032,103.9000826,135079061,,,POINT (103.9000826 1.3986032)
135079100,1.3990896,103.8988516,135079100,,,POINT (103.8988516 1.3990896)
135079149,1.3973962,103.9025279,135079149,10,motorway_junction,POINT (103.9025279 1.3973962)
135079181,1.3951674,103.9058425,135079181,9,motorway_junction,POINT (103.9058425 1.3951674)
135079228,1.39791,103.9016131,135079228,,,POINT (103.9016131 1.39791)
135079247,1.4001026,103.8945651,135079247,,,POINT (103.8945651 1.4001026)
135079306,1.4003965,103.8921205,135079306,,,POINT (103.8921205 1.4003965)
135079396,1.3996777,103.8967884,135079396,,,POINT (103.8967884 1.3996777)
135079902,1.4006064,103.8907603,135079902,,,POINT (103.8907603 1.4006064)
242937154,1.3860957,103.9066492,242937154,,,POINT (103.9066492 1.3860957)
242937156,1.3865048,103.9074024,242937156,,traffic_signals,POINT (103.9074024 1.3865048)
242937158,1.3884859,103.910871,242937158,,,POINT (103.910871 1.3884859)
242937166,1.3859418,103.9066121,242937166,,,POINT (103.9066121 1.3859418)
242937176,1.3863914,103.907458,242937176,,traffic_signals,POINT (103.907458 1.3863914)
242937186,1.3897224,103.9126609,242937186,,,POINT (103.9126609 1.3897224)
242937271,1.3883503,103.9109302,242937271,,,POINT (103.9109302 1.3883503)
242941523,1.3856123,103.9012991,242941523,,,POINT (103.9012991 1.3856123)
242941536,1.3862324,103.9015947,242941536,,traffic_signals,POINT (103.9015947 1.3862324)
242941538,1.3873217,103.9017679,242941538,,,POINT (103.9017679 1.3873217)
242941544,1.3880217,103.9018034,242941544,,,POINT (103.9018034 1.3880217)
242941554,1.3891413,103.901796,242941554,,,POINT (103.901796 1.3891413)
242941570,1.3909671,103.9014441,242941570,,traffic_signals,POINT (103.9014441 1.3909671)
242941571,1.3917901,103.9012825,242941571,,,POINT (103.9012825 1.3917901)
242941579,1.3925748,103.9011281,242941579,,,POINT (103.9011281 1.3925748)
242941602,1.3933251,103.9011261,242941602,,,POINT (103.9011261 1.3933251)
242941606,1.3937647,103.9011966,242941606,,,POINT (103.9011966 1.3937647)
242941626,1.3941232,103.9013277,242941626,,traffic_signals,POINT (103.9013277 1.3941232)
242941644,1.3948181,103.9018717,242941644,,,POINT (103.9018717 1.3948181)
242941674,1.3950117,103.902069,242941674,,,POINT (103.902069 1.3950117)
242941694,1.3965386,103.9033475,242941694,,traffic_signals,POINT (103.9033475 1.3965386)
242941719,1.3973098,103.9037434,242941719,,traffic_signals,POINT (103.9037434 1.3973098)
242948294,1.3867032,103.8939151,242948294,,traffic_signals,POINT (103.8939151 1.3867032)
242948296,1.3886949,103.8945048,242948296,,traffic_signals,POINT (103.8945048 1.3886949)
242948303,1.3858153,103.8958003,242948303,,traffic_signals,POINT (103.8958003 1.3858153)
242948308,1.386198,103.9016864,242948308,,traffic_signals,POINT (103.9016864 1.386198)
242948445,1.3874088,103.8982238,242948445,,,POINT (103.8982238 1.3874088)
242948450,1.3879904,103.896597,242948450,,traffic_signals,POINT (103.896597 1.3879904)
242948451,1.389433,103.892403,242948451,,traffic_signals,POINT (103.892403 1.389433)
242948452,1.3894794,103.8922529,242948452,,traffic_signals,POINT (103.8922529 1.3894794)
242948492,1.3863391,103.8950423,242948492,,,POINT (103.8950423 1.3863391)
242948493,1.386615,103.8913015,242948493,,traffic_signals,POINT (103.8913015 1.386615)
242948494,1.3888384,103.9056694,242948494,,,POINT (103.9056694 1.3888384)
242948495,1.3898798,103.9043145,242948495,,,POINT (103.9043145 1.3898798)
242948496,1.3905232,103.9032952,242948496,,,POINT (103.9032952 1.3905232)
242948499,1.3908682,103.9024911,242948499,,,POINT (103.9024911 1.3908682)
242950951,1.3878795,103.9019132,242950951,,,POINT (103.9019132 1.3878795)
242950971,1.3900213,103.9017811,242950971,,,POINT (103.9017811 1.3900213)
242950978,1.3936636,103.9013163,242950978,,,POINT (103.9013163 1.3936636)
242950984,1.3917888,103.901397,242950984,,,POINT (103.901397 1.3917888)
242950993,1.3909671,103.9015774,242950993,,traffic_signals,POINT (103.9015774 1.3909671)
242951025,1.3933501,103.9012709,242951025,,,POINT (103.9012709 1.3933501)
242951036,1.385769,103.9014984,242951036,,,POINT (103.9014984 1.385769)
242951056,1.3873448,103.9018945,242951056,,,POINT (103.9018945 1.3873448)
242951058,1.3955494,103.902782,242951058,,,POINT (103.902782 1.3955494)
242951071,1.3920694,103.9013527,242951071,,,POINT (103.9013527 1.3920694)
242952168,1.3910301,103.9002714,242952168,,,POINT (103.9002714 1.3910301)
242952197,1.3913539,103.8991975,242952197,,,POINT (103.8991975 1.3913539)
242952212,1.3918212,103.8978996,242952212,,traffic_signals,POINT (103.8978996 1.3918212)
242952222,1.3922607,103.8966823,242952222,,,POINT (103.8966823 1.3922607)
242952267,1.3932743,103.8937054,242952267,,traffic_signals,POINT (103.8937054 1.3932743)
242953527,1.389758,103.8972179,242953527,,traffic_signals,POINT (103.8972179 1.389758)
242953528,1.3901059,103.8962076,242953528,,traffic_signals,POINT (103.8962076 1.3901059)
242953529,1.390863,103.8940238,242953529,,traffic_signals,POINT (103.8940238 1.390863)
242953530,1.3912131,103.8930012,242953530,,traffic_signals,POINT (103.8930012 1.3912131)
242955635,1.3864331,103.8960799,242955635,,,POINT (103.8960799 1.3864331)
242955719,1.394902,103.8990209,242955719,,traffic_signals,POINT (103.8990209 1.394902)
242956226,1.396354,103.8994352,242956226,,,POINT (103.8994352 1.396354)
242956227,1.3965334,103.8993588,242956227,,,POINT (103.8993588 1.3965334)
242956228,1.3958853,103.8994191,242956228,,,POINT (103.8994191 1.3958853)
242958339,1.3862508,103.9036227,242958339,,,POINT (103.9036227 1.3862508)
