y,x,osmid,highway,address,ref
1.3908289,103.8941221,375767081,traffic_signals,"Sengkang Square, Sengkang, Northeast, 543216, Singapore",
1.3885107,103.9060275,242958383,traffic_signals,"Rivervale Drive, Punggol, Northeast, 540143, Singapore",
1.3893131,103.906717,242958389,,"Rivervale Drive, Punggol, Northeast, 542164, Singapore",
1.4009044,103.896421,3600777293,,"Punggol Way, Sengkang, Northeast, 820132, Singapore",
1.3956916,103.8962839,5917409357,,"Compassvale Street, Sengkang, Northeast, 541294, Singapore",
1.3955063,103.9167131,373096527,traffic_signals,"Punggol East, Punggol, Northeast, 820652, Singapore",
1.3953907,103.9168727,373096523,traffic_signals,"Punggol East, Punggol, Northeast, 820652, Singapore",
1.3982171,103.9129423,373096533,traffic_signals,"Punggol Central, Punggol, Northeast, 821053, Singapore",
1.3909121,103.8941561,375767150,traffic_signals,"Sengkang Square, Sengkang, Northeast, 544707, Singapore",
1.4162118,103.8939579,2383954067,traffic_signals,"Seletar North Link, Seletar, Singapore, Central, 821325, Singapore",
1.3920505,103.9053021,242958494,traffic_signals,"Rivervale Drive, Punggol, Northeast, 540151, Singapore",
1.3959525,103.8946429,242958501,traffic_signals,"Sengkang East Road, Sengkang, Northeast, 541262, Singapore",
1.4163018,103.8940975,2383954086,traffic_signals,"Seletar North Link, Seletar, Singapore, Central, 821325, Singapore",
1.4163803,103.8939969,2383954088,traffic_signals,"Seletar North Link, Seletar, Singapore, Central, 821325, Singapore",
1.4162881,103.8938642,2383954090,traffic_signals,"Seletar Link, Seletar, Singapore, Central, 821325, Singapore",
1.4009476,103.909135,373096623,traffic_signals,"Punggol Central, Punggol, Northeast, 828850, Singapore",
1.4028932,103.9063671,373096628,traffic_signals,"Blk 602B, Punggol Central, Punggol, Northeast, 820301, Singapore",
1.4029677,103.9062514,373096632,traffic_signals,"Punggol Central, Punggol, Northeast, 820301, Singapore",
1.4044437,103.9039067,373096643,traffic_signals,"Punggol Place, Punggol, Northeast, 828724, Singapore",
1.4061432,103.900832,373096660,traffic_signals,"Punggol Central, Punggol, Northeast, 820056, Singapore",
1.392406,103.9032118,3063316721,,"74, Saint Anne's Wood, Punggol, Northeast, 540196, Singapore",
1.3892623,103.9066912,5270601985,,"Rivervale Crescent, Punggol, Northeast, 542164, Singapore",
1.3903685,103.9086333,5270601999,,"Rivervale Crescent, Punggol, Northeast, 543162, Singapore",
1.3916982,103.9073467,5270602004,,"184A, Rivervale Crescent, Punggol, Northeast, 540150, Singapore",
1.3925139,103.9007976,3063316790,,"32, Jalan Merdu, Sengkang, Northeast, 548663, Singapore",
1.3925199,103.9003074,3063316802,,"36, Jalan Merdu, Sengkang, Northeast, 548663, Singapore",
1.391069,103.9014304,369164641,traffic_signals,"405, Punggol Road, Sengkang, Northeast, 546646, Singapore",
1.391069,103.9015477,369164647,traffic_signals,"Punggol Road, Sengkang, Northeast, 546639, Singapore",
1.4110639,103.9000583,4604821890,,"Punggol Way, Punggol, Northeast, 821312, Singapore",
1.4103577,103.8996931,4604821891,,"Punggol Way, Punggol, Northeast, 823310, Singapore",
1.4111178,103.8998682,4604821896,,"Punggol Way, Punggol, Northeast, 823327, Singapore",
1.4109642,103.8993976,4604821900,,"Sumang Link, Punggol, Northeast, 828674, Singapore",
1.4108386,103.8993986,4604821901,,"Sumang Link, Punggol, Northeast, 828674, Singapore",
1.4104325,103.8994801,4604821907,,"Punggol Way, Punggol, Northeast, 821312, Singapore",
1.3909628,103.9019322,369164759,,"Sengkang East Way, Sengkang, Northeast, 540127, Singapore",
1.4028509,103.9062096,368902639,traffic_signals,"Punggol Road, Punggol, Northeast, 820301, Singapore",
1.3876257,103.9129309,5992186379,motorway_junction,"Tampines Expressway, Punggol, Northeast, 520173, Singapore",7
1.4035157,103.9108485,373096980,traffic_signals,"Edgefield Plains, Punggol, Northeast, 822619, Singapore",
1.4010187,103.9090336,373096988,traffic_signals,"Edgefield Plains, Punggol, Northeast, 828710, Singapore",
1.4009033,103.908953,373096990,traffic_signals,"Punggol Central, Punggol, Northeast, 828710, Singapore",
1.39991,103.9049553,368902719,traffic_signals,"Punggol Field, Punggol, Northeast, 820198, Singapore",
1.382163,103.9145093,6094013073,motorway_junction,"Halus Link, Punggol, Northeast, 520175, Singapore",
1.4165403,103.8944884,5218714341,,"Seletar North Link, Seletar, Singapore, Central, 821325, Singapore",
1.4027189,103.8910207,4003660548,traffic_signals,"Sumang Crescent, Sengkang, Northeast, 822232, Singapore",
1.4160145,103.8942834,3089269529,,"Seletar North Link, Seletar, Singapore, Central, 821325, Singapore",
1.3911259,103.9002789,369165131,,"Sengkang East Way, Sengkang, Northeast, 546639, Singapore",
1.3852137,103.9200116,5992186786,,"Halus Link, Punggol, Northeast, 520175, Singapore",
1.3972985,103.8979367,5177263019,,"Compassvale Crescent, Sengkang, Northeast, 541289, Singapore",
1.3899805,103.9043976,369165233,traffic_signals,"142A MSCP, Sengkang East Way, Punggol, Northeast, 540143, Singapore",
1.3885868,103.9061196,369165261,traffic_signals,"Sengkang East Way, Punggol, Northeast, 540143, Singapore",
1.4064775,103.8977348,376194047,traffic_signals,"Punggol Way, Punggol, Northeast, 821266, Singapore",
1.4031587,103.8973564,4598842390,,"Punggol Field, Punggol, Northeast, 820122, Singapore",
1.4064641,103.8975106,376194074,traffic_signals,"Punggol Way, Punggol, Northeast, 821261, Singapore",
1.386609,103.893506,4598842409,,"279 MSCP (SK92) and Shops, 279, Sengkang East Avenue, Sengkang, Northeast, 540279, Singapore",
1.3863262,103.8936455,4598842414,,"Sengkang Central, Sengkang, Northeast, 540270, Singapore",
1.3862923,103.8937905,4598842415,,"270A, Sengkang Central, Sengkang, Northeast, 541270, Singapore",
1.3862327,103.8913175,4598842420,,"Sengkang East Road, Sengkang, Northeast, 540281, Singapore",
1.3864756,103.891771,4598842424,,"281A, Sengkang East Avenue, Sengkang, Northeast, 541281, Singapore",
1.3866059,103.8919465,4598842425,,"Sengkang East Avenue, Sengkang, Northeast, 542200, Singapore",
1.3869328,103.8915616,4598842429,,"Sengkang East Road, Sengkang, Northeast, 541281, Singapore",
1.386918,103.8913988,4598842430,,"Sengkang East Road, Sengkang, Northeast, 541303, Singapore",
1.3866843,103.8909328,4598842433,,"Sengkang East Avenue, Sengkang, Northeast, 541303, Singapore",
1.3865711,103.8908968,4598842434,,"Sengkang East Avenue, Sengkang, Northeast, 542303, Singapore",
1.3861779,103.8911566,4598842438,,"Sengkang East Road, Sengkang, Northeast, 541281, Singapore",
1.3866089,103.9135644,6578324592,,"Tampines Expressway, Punggol, Northeast, 520173, Singapore",
1.4087668,103.9020851,5256742059,,"Punggol Walk, Punggol, Northeast, 821310, Singapore",
1.4086997,103.9019302,5256742063,,"Waterway Terraces, 310A, Punggol Walk, Punggol, Northeast, 821310, Singapore",
1.3863446,103.907118,4430972250,,"Sengkang East Drive, Punggol, Northeast, 540170, Singapore",
1.3867283,103.907802,4430972254,,"160, Sengkang East Drive, Punggol, Northeast, 521170, Singapore",
1.386802,103.9072858,4430972257,,"122, Sengkang East Way, Punggol, Northeast, 540170, Singapore",
1.3951853,103.9060462,1166755173,,"Tampines Expressway, Punggol, Northeast, 820136, Singapore",
